Start Game with: ({'size': array([8, 3]), 'quantity': 12}, {'size': array([6, 4]), 'quantity': 8}, {'size': array([6, 5]), 'quantity': 16}, {'size': array([22,  6]), 'quantity': 15}, {'size': array([29,  1]), 'quantity': 2})
{'stock_idx': 2, 'size': [3, 7], 'position': (33, 0)}
{'stock_idx': 2, 'size': [3, 7], 'position': (33, 7)}
{'stock_idx': 0, 'size': [7, 7], 'position': (0, 0)}
{'stock_idx': 0, 'size': [7, 7], 'position': (0, 7)}
{'stock_idx': 0, 'size': [7, 7], 'position': (0, 14)}
{'stock_idx': 0, 'size': [7, 7], 'position': (0, 21)}
{'stock_idx': 0, 'size': [7, 7], 'position': (0, 28)}
{'stock_idx': 0, 'size': [2, 4], 'position': (7, 0)}
{'stock_idx': 0, 'size': [2, 4], 'position': (7, 4)}
{'stock_idx': 0, 'size': [2, 4], 'position': (7, 8)}
{'stock_idx': 0, 'size': [2, 4], 'position': (7, 12)}
{'stock_idx': 0, 'size': [2, 4], 'position': (7, 16)}
{'stock_idx': 0, 'size': [2, 4], 'position': (7, 20)}
{'stock_idx': 0, 'size': [2, 4], 'position': (7, 24)}
{'stock_idx': 0, 'size': [2, 4], 'position': (7, 28)}
{'stock_idx': 0, 'size': [2, 4], 'position': (7, 32)}
{'stock_idx': 0, 'size': [2, 4], 'position': (9, 0)}
{'stock_idx': 0, 'size': [26, 18], 'position': (0, 0)}
{'stock_idx': 1, 'size': [26, 18], 'position': (0, 0)}
{'stock_idx': 1, 'size': [26, 18], 'position': (0, 18)}
{'stock_idx': 2, 'size': [26, 18], 'position': (0, 0)}
{'stock_idx': 3, 'size': [26, 18], 'position': (0, 0)}
{'stock_idx': 3, 'size': [26, 18], 'position': (0, 18)}
{'stock_idx': 4, 'size': [26, 18], 'position': (0, 0)}
{'stock_idx': 5, 'size': [27, 17], 'position': (0, 0)}
{'stock_idx': 5, 'size': [27, 17], 'position': (0, 17)}
{'stock_idx': 6, 'size': [27, 17], 'position': (0, 0)}
{'stock_idx': 7, 'size': [27, 17], 'position': (0, 0)}
{'stock_idx': 8, 'size': [27, 17], 'position': (0, 0)}
{'stock_idx': 2, 'size': [29, 13], 'position': (0, 18)}
{'stock_idx': 9, 'size': [29, 13], 'position': (0, 0)}
{'stock_idx': 9, 'size': [29, 13], 'position': (0, 13)}
{'stock_idx': 10, 'size': [29, 13], 'position': (0, 0)}
{'stock_idx': 10, 'size': [29, 13], 'position': (0, 13)}
{'stock_idx': 10, 'size': [29, 13], 'position': (0, 26)}
{'stock_idx': 11, 'size': [29, 13], 'position': (0, 0)}
{'stock_idx': 11, 'size': [29, 13], 'position': (0, 13)}
{'stock_idx': 12, 'size': [29, 13], 'position': (0, 0)}
{'stock_idx': 12, 'size': [23, 15], 'position': (0, 13)}
{'stock_idx': 13, 'size': [23, 15], 'position': (0, 0)}
{'stock_idx': 14, 'size': [23, 15], 'position': (0, 0)}
{'stock_idx': 15, 'size': [23, 15], 'position': (0, 0)}
{'stock_idx': 16, 'size': [23, 15], 'position': (0, 0)}
{'stock_idx': 16, 'size': [23, 15], 'position': (0, 15)}
{'stock_idx': 17, 'size': [23, 15], 'position': (0, 0)}
{'stock_idx': 18, 'size': [23, 15], 'position': (0, 0)}
{'stock_idx': 19, 'size': [23, 15], 'position': (0, 0)}
{'stock_idx': 20, 'size': [23, 15], 'position': (0, 0)}
{'stock_idx': 20, 'size': [23, 15], 'position': (0, 15)}
{'stock_idx': 21, 'size': [23, 15], 'position': (0, 0)}
{'stock_idx': 22, 'size': [23, 15], 'position': (0, 0)}
{'stock_idx': 22, 'size': [23, 15], 'position': (0, 15)}
{'stock_idx': 23, 'size': [23, 15], 'position': (0, 0)}
{'stock_idx': 23, 'size': [23, 15], 'position': (0, 15)}
